t,V_a,V_b,m,h,n,I_Na,I_K,I_L,I_syn_b,g_syn
0.44,-61.02212252,-64.99833247,0.06838659834,0.5921661975,0.3203109105,-2.523175101,6.054921473,-1.990536756,0,0
0.45,-60.93753462,-64.99829801,0.06894516353,0.5919874015,0.3204281035,-2.582757544,6.095889736,-1.965160385,0,0
0.46,-60.85301433,-64.99826368,0.06950995286,0.5918045996,0.3205477874,-2.643918546,6.137126771,-1.9398043,0,0
0.47,-60.76854837,-64.99822947,0.07008090723,0.5916177813,0.3206699626,-2.706687235,6.178641356,-1.914464512,0,0
0.48,-60.68412327,-64.99819538,0.07065797514,0.5914269351,0.3207946298,-2.771093871,6.220442414,-1.889136981,0,0
0.49,-60.59972539,-64.99816141,0.07124111249,0.591232049,0.3209217902,-2.837169881,6.262539029,-1.863817616,0,0
0.5,-60.5153409,-64.99812756,0.07183028236,0.5910331101,0.3210514454,-2.904947886,6.304940448,-1.83850227,0,0
0.51,-60.4309558,-64.99809384,0.07242545489,0.5908301049,0.3211835974,-2.974461747,6.347656093,-1.813186741,0,0
0.52,-60.34655588,-64.99806023,0.07302660711,0.5906230189,0.3213182487,-3.045746598,6.390695567,-1.787866764,0,0
0.53,-60.2621267,-64.99802675,0.07363372279,0.5904118368,0.3214554022,-3.118838891,6.434068664,-1.762538011,0,0
0.54,-60.17765362,-64.99799338,0.07424679235,0.5901965427,0.3215950613,-3.193776446,6.477785379,-1.737196086,0,0
0.55,-60.09312175,-64.99796013,0.07486581273,0.5899771193,0.32173723,-3.270598494,6.521855915,-1.711836524,0,0
0.56,-60.00851596,-64.997927,0.07549078732,0.589753549,0.3218819126,-3.349345733,6.566290698,-1.686454787,0,0
0.57,-59.92382086,-64.99789399,0.07612172585,0.5895258129,0.322029114,-3.430060387,6.611100381,-1.661046258,0,0
0.58,-59.8390208,-64.99786109,0.07675864433,0.5892938912,0.3221788395,-3.512786259,6.656295857,-1.635606239,0,0
0.59,-59.75409983,-64.99782831,0.07740156502,0.5890577633,0.3223310951,-3.5975688,6.701888274,-1.610129949,0,0
0.6,-59.66904173,-64.99779565,0.07805051636,0.5888174073,0.3224858874,-3.684455173,6.747889039,-1.584612518,0,0
0.61,-59.58382994,-64.9977631,0.07870553293,0.5885728005,0.3226432232,-3.773494325,6.794309836,-1.559048982,0,0
0.62,-59.4984476,-64.99773067,0.07936665548,0.588323919,0.3228031102,-3.864737063,6.841162638,-1.533434281,0,0
0.63,-59.41287752,-64.99769835,0.08003393086,0.588070738,0.3229655566,-3.958236134,6.888459717,-1.507763255,0,0
0.64,-59.32710212,-64.99766615,0.08070741208,0.5878132312,0.3231305713,-4.054046308,6.936213658,-1.482030636,0,0
0.65,-59.24110349,-64.99763406,0.08138715827,0.5875513714,0.3232981635,-4.152224468,6.984437376,-1.456231046,0,0
0.66,-59.15486331,-64.99760208,0.08207323476,0.5872851301,0.3234683435,-4.252829706,7.033144131,-1.430358992,0,0
0.67,-59.06836286,-64.99757022,0.08276571306,0.5870144775,0.3236411218,-4.355923419,7.082347537,-1.404408858,0,0
0.68,-58.98158301,-64.99753848,0.08346467098,0.5867393826,0.3238165099,-4.461569419,7.132061588,-1.378374904,0,0
0.69,-58.89450419,-64.99750684,0.08417019262,0.586459813,0.32399452,-4.569834043,7.182300666,-1.352251256,0,0
0.7,-58.80710634,-64.99747533,0.08488236849,0.5861757349,0.3241751647,-4.680786269,7.233079566,-1.326031902,0,0
0.71,-58.71936895,-64.99744392,0.08560129556,0.5858871131,0.3243584577,-4.794497844,7.28441351,-1.299710686,0,0
0.72,-58.631271,-64.99741263,0.08632707738,0.5855939109,0.3245444133,-4.911043413,7.336318168,-1.273281301,0,0
0.73,-58.54279094,-64.99738144,0.08705982419,0.58529609,0.3247330465,-5.030500664,7.388809678,-1.246737281,0,0
0.74,-58.45390665,-64.99735038,0.08779965301,0.5849936106,0.3249243734,-5.152950467,7.441904669,-1.220071996,0,0
0.75,-58.36459548,-64.99731942,0.08854668779,0.5846864312,0.3251184106,-5.27847704,7.495620284,-1.193278643,0,0
0.76,-58.27483412,-64.99728858,0.08930105959,0.5843745085,0.3253151757,-5.407168109,7.549974201,-1.166350237,0,0
0.77,-58.18459868,-64.99725785,0.09006290665,0.5840577976,0.3255146874,-5.539115081,7.60498466,-1.139279604,0,0
0.78,-58.09386458,-64.99722723,0.09083237467,0.5837362517,0.3257169649,-5.674413239,7.660670489,-1.112059374,0,0
0.79,-58.00260656,-64.99719672,0.09160961691,0.583409822,0.3259220287,-5.813161927,7.717051133,-1.084681968,0,0
0.8,-57.91079863,-64.99716633,0.09239479444,0.5830784577,0.3261299002,-5.95546477,7.774146679,-1.05713959,0,0
0.81,-57.81841406,-64.99713604,0.09318807634,0.5827421062,0.3263406018,-6.101429886,7.831977895,-1.029424217,0,0
0.82,-57.72542529,-64.99710587,0.09398963993,0.5824007123,0.3265541568,-6.251170126,7.890566251,-1.001527588,0,0
0.83,-57.63180398,-64.99707581,0.09479967105,0.582054219,0.3267705899,-6.404803322,7.949933965,-0.9734411936,0,0
0.84,-57.53752087,-64.99704587,0.09561836426,0.5817025667,0.3269899268,-6.562452549,8.010104032,-0.945156262,0,0
0.85,-57.44254583,-64.99701603,0.0964459232,0.5813456935,0.3272121941,-6.724246411,8.071100262,-0.9166637476,0,0
0.86,-57.34684773,-64.9969863,0.09728256087,0.580983535,0.3274374202,-6.890319333,8.132947324,-0.8879543179,0,0
0.87,-57.25039446,-64.99695669,0.09812849991,0.5806160241,0.3276656341,-7.060811886,8.195670788,-0.859018339,0,0
0.88,-57.15315287,-64.99692719,0.09898397301,0.580243091,0.3278968667,-7.235871118,8.259297169,-0.8298458607,0,0
0.89,-57.05508867,-64.9968978,0.09984922326,0.5798646631,0.3281311499,-7.415650916,8.323853972,-0.8004266012,0,0
0.9,-56.95616644,-64.99686852,0.1007245045,0.5794806647,0.3283685171,-7.600312389,8.389369748,-0.7707499306,0,0
0.91,-56.85634951,-64.99683936,0.1016100818,0.5790910172,0.3286090032,-7.790024277,8.455874147,-0.7408048529,0,0
0.92,-56.75559996,-64.9968103,0.1025062319,0.5786956386,0.3288526447,-7.984963383,8.523397969,-0.7105799879,0,0
0.93,-56.65387851,-64.99678136,0.1034132436,0.5782944435,0.3290994794,-8.185315035,8.591973231,-0.6800635517,0,0
0.94,-56.55114445,-64.99675252,0.1043314183,0.5778873431,0.3293495471,-8.391273588,8.661633229,-0.6492433357,0,0
0.95,-56.44735562,-64.9967238,0.1052610706,0.5774742447,0.3296028891,-8.603042942,8.732412602,-0.6181066846,0,0
