t,V_a,V_b,m,h,n,I_Na,I_K,I_L,I_syn_b,g_syn
18.31,-31.02428037,14.1778986,0.8780837146,0.07376747744,0.7535408979,-485.5893228,533.6522561,7.008815889,-10.0021542,0.681175074
18.32,-31.47499786,13.67189731,0.8744414117,0.07345558922,0.7535621782,-480.200492,528.4803535,6.873600641,-9.609463495,0.6777776992
18.33,-31.92653248,13.16575294,0.8707018742,0.07315641379,0.7535706482,-474.7518498,523.2622056,6.738140255,-9.220290206,0.6743972688
18.34,-32.37901744,12.6595433,0.8668627309,0.0728699528,0.7535663562,-469.242497,517.9974631,6.602394767,-8.834663888,0.6710336984
18.35,-32.83259105,12.15334339,0.8629215406,0.07259620897,0.7535493462,-463.6714603,512.6857101,6.466322684,-8.452611271,0.6676869038
18.36,-33.28739678,11.64722545,0.8588757891,0.07233518629,0.7535196578,-458.0376944,507.3264652,6.329880967,-8.074156344,0.6643568015
18.37,-33.74358329,11.14125901,0.8547228858,0.07208689013,0.7534773264,-452.3400838,501.9191818,6.193025012,-7.699320444,0.6610433081
18.38,-34.20130452,10.63551091,0.8504601611,0.07185132746,0.7534223828,-446.5774457,496.4632491,6.055708643,-7.328122344,0.6577463409
18.39,-34.66071964,10.1300454,0.8460848626,0.07162850704,0.7533548535,-440.7485339,490.9579932,5.917884107,-6.96057834,0.6544658173
18.4,-35.12199308,9.624924155,0.8415941521,0.07141843957,0.7532747604,-434.8520424,485.4026792,5.779502076,-6.596702337,0.6512016554
18.41,-35.58529447,9.120206311,0.8369851025,0.07122113794,0.7531821208,-428.8866102,479.7965126,5.64051166,-6.236505927,0.6479537736
18.42,-36.05079861,8.615948547,0.8322546942,0.07103661742,0.7530769475,-422.8508275,474.1386419,5.500860418,-5.87999848,0.6447220907
18.43,-36.51868536,8.112205119,0.8273998126,0.07086489585,0.7529592484,-416.7432417,468.4281616,5.360494393,-5.527187219,0.6415065259
18.44,-36.9891395,7.609027913,0.8224172447,0.07070599393,0.7528290272,-410.5623655,462.6641155,5.21935815,-5.178077303,0.6383069987
18.45,-37.46235058,7.106466492,0.8173036762,0.0705599354,0.7526862825,-404.3066854,456.8455005,5.077394826,-4.832671901,0.6351234293
18.46,-37.93851268,6.604568154,0.8120556896,0.07042674731,0.7525310085,-397.974672,450.9712713,4.934546196,-4.490972276,0.631955738
18.47,-38.41782414,6.103377976,0.8066697614,0.07030646023,0.7523631946,-391.5647914,445.0403459,4.790752759,-4.152977854,0.6288038456
18.48,-38.90048721,5.602938869,0.8011422604,0.07019910858,0.7521828257,-385.0755184,439.0516112,4.645953838,-3.818686298,0.6256676733
18.49,-39.38670767,5.103291626,0.7954694467,0.07010473084,0.7519898819,-378.5053513,433.0039305,4.500087698,-3.488093584,0.6225471428
18.5,-39.87669434,4.604474973,0.7896474707,0.07002336985,0.7517843389,-371.8528289,426.8961509,4.353091697,-3.161194069,0.6194421759
18.51,-40.37065848,4.106525619,0.7836723734,0.0699550731,0.7515661679,-365.1165494,420.7271126,4.204902456,-2.83798056,0.6163526952
18.52,-40.86881314,3.609478305,0.7775400871,0.06989989303,0.7513353359,-358.2951913,414.4956591,4.055456059,-2.518444378,0.6132786233
18.53,-41.37137238,3.113365855,0.7712464377,0.06985788736,0.7510918054,-351.3875378,408.2006481,3.904688287,-2.202575431,0.6102198834
18.54,-41.87855036,2.618219222,0.7647871478,0.06982911938,0.7508355351,-344.3925029,401.8409647,3.752534892,-1.890362269,0.607176399
18.55,-42.39056033,2.124067537,0.7581578415,0.0698136583,0.7505664796,-337.3091612,395.4155356,3.598931902,-1.581792153,0.6041480941
18.56,-42.90761339,1.630938154,0.7513540508,0.06981157964,0.7502845901,-330.1367805,388.9233449,3.443815983,-1.276851111,0.6011348929
18.57,-43.42991719,1.138856702,0.744371224,0.06982296555,0.7499898141,-322.8748577,382.3634519,3.287124842,-0.9755239983,0.5981367201
18.58,-43.95767439,0.6478471252,0.7372047364,0.06984790522,0.7496820962,-315.5231587,375.7350107,3.128797684,-0.6777945533,0.5951535008
18.59,-44.49108088,0.1579317287,0.7298499035,0.06988649524,0.7493613782,-308.0817619,369.0372919,2.968775735,-0.3836454537,0.5921851603
18.6,-45.03032394,-0.330868776,0.7223019976,0.06993884006,0.7490275996,-300.5511049,362.2697061,2.807002818,-0.09305836906,0.5892316245
18.61,-45.57557998,-0.8185352295,0.7145562669,0.07000505236,0.748680698,-292.9320362,355.4318303,2.643426006,0.1939859876,0.5862928195
18.62,-46.12701218,-1.305049983,0.7066079593,0.07008525352,0.7483206095,-285.2258701,348.5234364,2.477996345,0.4775078097,0.5833686719
18.63,-46.68476781,-1.790396858,0.6984523502,0.070179574,0.7479472694,-277.4344458,341.5445217,2.310669658,0.7575281498,0.5804591085
18.64,-47.24897526,-2.274561106,0.6900847746,0.07028815381,0.7475606129,-269.5601895,334.4953429,2.141407421,1.034068872,0.5775640566
18.65,-47.81974087,-2.757529374,0.6815006656,0.07041114296,0.7471605757,-261.6061811,327.3764516,1.970177738,1.30715261,0.5746834439
18.66,-48.39714535,-3.239289662,0.6726955974,0.07054870179,0.7467470945,-253.5762224,320.1887331,1.796956394,1.576802721,0.5718171982
18.67,-48.98124003,-3.719831295,0.6636653361,0.07070100144,0.7463201084,-245.4749078,312.9334472,1.621727992,1.843043246,0.5689652481
18.68,-49.5720427,-4.199144886,0.6544058964,0.07086822415,0.7458795594,-237.3076968,305.6122708,1.44448719,2.105898874,0.5661275221
18.69,-50.16953331,-4.677222305,0.6449136065,0.07105056354,0.7454253934,-229.0809856,298.2273438,1.265240007,2.365394898,0.5633039493
18.7,-50.77364929,-5.154056647,0.6351851808,0.07124822489,0.7449575615,-220.8021776,290.7813148,1.084005212,2.621557186,0.5604944591
18.71,-51.38428072,-5.629642208,0.6252178009,0.07146142518,0.7444760208,-212.4797503,283.2773895,0.9008157851,2.874412142,0.5576989813
18.72,-52.00126527,-6.103974455,0.6150092056,0.07169039312,0.7439807359,-204.1233167,275.7193782,0.71572042,3.123986676,0.554917446
18.73,-52.62438309,-6.577050005,0.6045577897,0.07193536902,0.74347168,-195.7436785,268.1117439,0.528785074,3.370308176,0.5521497837
18.74,-53.25335159,-7.048866599,0.5938627117,0.07219660438,0.7429488362,-187.3528684,260.4596483,0.3400945228,3.613404473,0.5493959252
18.75,-53.88782034,-7.519423084,0.5829240094,0.07247436137,0.742412199,-178.9641771,252.7689959,0.1497538995,3.853303821,0.5466558016
18.76,-54.52736606,-7.988719396,0.5717427246,0.07276891199,0.7418617755,-170.5921629,245.0464734,-0.04210981873,4.090034868,0.5439293444
18.77,-55.17148807,-8.456756542,0.5603210334,0.07308053692,0.7412975872,-162.2526395,237.2995843,-0.2353464209,4.323626635,0.5412164855
18.78,-55.81960405,-8.92353659,0.5486623823,0.07340952401,0.7407196708,-153.962637,229.5366757,-0.4297812162,4.55410849,0.538517157
18.79,-56.47104663,-9.389062656,0.5367716273,0.07375616648,0.7401280804,-145.740334,221.7669561,-0.6252139886,4.781510136,0.5358312915
18.8,-57.12506071,-9.853338898,0.5246551736,0.07412076057,0.7395228882,-137.6049553,214.0005016,-0.8214182128,5.005861583,0.5331588218
18.81,-57.78080199,-10.31637051,0.5123211126,0.07450360283,0.7389041864,-129.5766333,206.2482491,-1.018140597,5.227193142,0.530499681
18.82,-58.43733674,-10.77816371,0.4997793514,0.07490498687,0.7382720879,-121.6762309,198.5219735,-1.215101023,5.445535404,0.5278538028
18.83,-59.09364316,-11.23872577,0.4870417313,0.07532519967,0.737626728,-113.9251231,190.8342471,-1.411992948,5.660919227,0.525221121
18.84,-59.74861447,-11.69806499,0.4741221293,0.0757645174,0.7369682649,-106.3449403,183.1983799,-1.608484341,5.87337573,0.5226015698
18.85,-60.40106402,-12.1561907,0.4610365362,0.07622320076,0.736296881,-98.95727279,175.6283389,-1.804219207,6.08293628,0.5199950835
18.86,-61.04973249,-12.61311331,0.447803107,0.07670148995,0.7356127831,-91.78334277,168.1386446,-1.998819747,6.289632484,0.5174015973
18.87,-61.69329731,-13.06884428,0.4344421755,0.07719959924,0.7349162031,-84.84364989,160.7442467,-2.191889194,6.493496187,0.514821046
18.88,-62.33038439,-13.52339617,0.4209762275,0.07771771138,0.734207398,-78.15759912,153.4603767,-2.383015317,6.694559464,0.5122533653
18.89,-62.95958201,-13.97678263,0.4074298289,0.07825597183,0.7334866499,-71.74312282,146.3023805,-2.571774603,6.892854621,0.509698491
18.9,-63.57945684,-14.42901845,0.393829502,0.07881448299,0.7327542653,-65.61630994,139.2855342,-2.757737053,7.088414192,0.5071563592
18.91,-64.18857171,-14.88011958,0.3802035488,0.07939329876,0.7320105748,-59.79105719,132.4248442,-2.940471514,7.281270942,0.5046269063
18.92,-64.78550487,-15.33010314,0.3665818202,0.07999241927,0.7312559314,-54.27875734,125.7348386,-3.119551461,7.471457869,0.5021100691
18.93,-65.36887017,-15.7789875,0.3529954322,0.08061178638,0.7304907099,-49.08803954,119.2293545,-3.29456105,7.659008209,0.4996057847
18.94,-65.93733771,-16.22679227,0.339476433,0.08125127982,0.7297153044,-44.22457527,112.9213275,-3.465101312,7.84395544,0.4971139904
18.95,-66.48965422,-16.67353839,0.3260574278,0.08191071428,0.728930127,-39.69096061,106.8225905,-3.630796265,8.026333295,0.4946346241
18.96,-67.02466255,-17.11924813,0.3127711703,0.08258983756,0.728135605,-35.4866825,100.9436883,-3.791298766,8.206175765,0.4921676236
18.97,-67.54131962,-17.56394518,0.299650132,0.08328833003,0.727332179,-31.6081722,95.29371541,-3.946295887,8.383517114,0.4897129273
18.98,-68.0387121,-18.00765469,0.2867260626,0.08400580518,0.7265202995,-28.0489443,89.88018224,-4.095513629,8.55839189,0.4872704739
18.99,-68.51606934,-18.45040332,0.2740295553,0.08474181163,0.7257004249,-24.79981536,84.70891531,-4.238720802,8.730834941,0.4848402023
19,-68.97277313,-18.89221933,0.2615896312,0.08549583632,0.7248730182,-21.84919156,79.78399445,-4.375731939,8.900881425,0.4824220517
19.01,-69.40836384,-19.33313263,0.249433357,0.08626730888,0.7240385441,-19.18341134,75.10772928,-4.506409152,9.068566832,0.4800159617
19.02,-69.82254293,-19.77317483,0.2375855077,0.08705560711,0.7231974663,-16.78712655,70.68067497,-4.630662879,9.233926999,0.4776218721
19.03,-70.21517178,-20.21237937,0.2260682843,0.08786006329,0.7223502447,-14.64370442,66.50168571,-4.748451535,9.39699813,0.475239723
19.04,-70.58626708,-20.65078155,0.2149010949,0.08867997118,0.7214973329,-12.73563269,62.56800275,-4.859780124,9.557816816,0.472869455
19.05,-70.93599298,-21.08841864,0.2041004024,0.0895145935,0.7206391757,-11.04491168,58.87537239,-4.964697894,9.716420058,0.4705110088
19.06,-71.26465061,-21.52532996,0.1936796403,0.09036316958,0.7197762069,-9.553419129,55.41818859,-5.063295183,9.872845284,0.4681643253
19.07,-71.57266535,-21.96155699,0.1836491965,0.09122492312,0.7189088475,-8.243237026,52.18965373,-5.155699605,10.02713038,0.465829346
19.08,-71.86057252,-22.39714342,0.1740164572,0.09209906967,0.7180375039,-7.096932449,49.18195146,-5.242071757,10.17931371,0.4635060125
19.09,-72.129002,-22.83213529,0.1647859092,0.09298482375,0.7171625667,-6.097788321,46.38642513,-5.322600599,10.32943413,0.4611942666
19.1,-72.37866236,-23.26658109,0.1559592879,0.09388140548,0.7162844096,-5.229982805,43.79375607,-5.397498707,10.47753105,0.4588940506
19.11,-72.6103251,-23.70053183,0.1475357651,0.09478804653,0.7154033886,-4.478718872,41.39413671,-5.466997531,10.6236444,0.456605307
19.12,-72.82480931,-24.1340412,0.1395121663,0.09570399542,0.7145198414,-3.830307676,39.17743414,-5.531342792,10.76781472,0.4543279785
19.13,-73.02296714,-24.56716565,0.1318832075,0.096628522,0.7136340871,-3.27221087,37.13334089,-5.590790143,10.91008313,0.4520620083
19.14,-73.20567054,-24.99996449,0.1246417437,0.09756092119,0.7127464264,-2.793047895,35.25151063,-5.645601162,11.05049142,0.4498073396
19.15,-73.37379916,-25.43250005,0.1177790213,0.09850051595,0.7118571415,-2.382574633,33.52167727,-5.696039747,11.18908201,0.4475639161
19.16,-73.52822979,-25.86483776,0.1112849271,0.09944665958,0.7109664963,-2.031639747,31.93375695,-5.742368936,11.32589802,0.4453316818
19.17,-73.66982727,-26.29704628,0.1051482288,0.1003987373,0.7100747373,-1.73212462,30.47793289,-5.784848181,11.46098328,0.4431105807
19.18,-73.79943687,-26.72919763,0.09935680216,0.1013561671,0.7091820938,-1.476872179,29.14472386,-5.823731061,11.59438236,0.4409005575
19.19,-73.91787808,-27.16136733,0.09389784309,0.1023184005,0.7082887784,-1.259609146,27.92503721,-5.859263423,11.72614061,0.4387015568
19.2,-74.02593972,-27.59363447,0.08875806022,0.1032849223,0.7073949884,-1.074865457,26.81020791,-5.891681917,11.85630416,0.4365135237
19.21,-74.12437633,-28.02608188,0.08392384894,0.1042552501,0.7065009058,-0.9178938075,25.79202511,-5.921212898,11.98491995,0.4343364034
19.22,-74.21390551,-28.45879625,0.07938144531,0.1052289337,0.7056066987,-0.7845915718,24.86274768,-5.948071653,12.11203577,0.4321701415
19.23,-74.29520636,-28.89186822,0.07511706036,0.1062055544,0.7047125219,-0.6714267003,24.01511064,-5.972461907,12.23770028,0.4300146839
19.24,-74.36891858,-29.32539255,0.07111699557,0.1071847232,0.7038185175,-0.5753686538,23.24232367,-5.994575573,12.36196299,0.4278699768
19.25,-74.43564237,-29.75946819,0.06736774044,0.1081660798,0.7029248161,-0.493825001,22.53806344,-6.014592711,12.48487434,0.4257359664
19.26,-74.49593883,-30.19419843,0.0638560535,0.1091492913,0.7020315375,-0.4245839507,21.89646084,-6.032681648,12.60648568,0.4236125994
19.27,-74.55033078,-30.62969101,0.06056902826,0.1101340506,0.7011387913,-0.3657628241,21.31208445,-6.048999234,12.72684929,0.4214998227
19.28,-74.599304,-31.06605821,0.05749414554,0.1111200746,0.7002466777,-0.3157622869,20.77992122,-6.063691201,12.8460184,0.4193975836
19.29,-74.64330868,-31.50341696,0.05461931369,0.1121071032,0.6993552883,-0.2732260237,20.29535515,-6.076892605,12.96404719,0.4173058294
19.3,-74.68276105,-31.94188896,0.05193289826,0.1130948972,0.6984647067,-0.2370054582,19.85414484,-6.088728314,13.0809908,0.4152245079
19.31,-74.71804516,-32.38160073,0.04942374243,0.1140832373,0.6975750092,-0.2061290779,19.45240041,-6.099313547,13.19690536,0.413153567
19.32,-74.74951474,-32.82268372,0.04708117955,0.1150719226,0.6966862653,-0.1797759055,19.08656034,-6.108754421,13.31184793,0.411092955
19.33,-74.77749504,-33.26527434,0.04489503904,0.116060769,0.6957985383,-0.1572526645,18.75336856,-6.117148511,13.42587655,0.4090426203
19.34,-74.80228471,-33.70951406,0.04285564663,0.1170496081,0.6949118859,-0.1379742058,18.44985216,-6.124585413,13.53905021,0.4070025118
19.35,-74.82415763,-34.15554942,0.04095382006,0.1180382859,0.6940263603,-0.1214467893,18.1732999,-6.13114729,13.65142882,0.4049725783
19.36,-74.84336469,-34.60353203,0.03918086093,0.119026662,0.6931420093,-0.1072538496,17.92124164,-6.136909408,13.76307322,0.4029527691
19.37,-74.86013548,-35.05361863,0.0375285436,0.1200146077,0.6922588761,-0.09504390904,17.6914289,-6.141940643,13.87404511,0.4009430338
19.38,-74.87467992,-35.505971,0.03598910174,0.121002006,0.691377,-0.08452033811,17.4818165,-6.146303976,13.98440707,0.3989433221
19.39,-74.88718984,-35.96075593,0.03455521307,0.1219887499,0.6904964166,-0.07543269879,17.29054543,-6.150056953,14.09422244,0.3969535839
19.4,-74.8978404,-36.41814516,0.03321998284,0.1229747418,0.6896171583,-0.06756943782,17.1159268,-6.15325212,14.20355533,0.3949737697
19.41,-74.90679145,-36.87831521,0.03197692631,0.1239598928,0.6887392543,-0.06075172849,16.956427,-6.155937436,14.31247052,0.3930038298
19.42,-74.91418883,-37.34144728,0.0308199508,0.124944122,0.6878627312,-0.05482828621,16.81065396,-6.158156649,14.42103338,0.391043715
19.43,-74.92016552,-37.80772695,0.02974333741,0.1259273555,0.686987613,-0.04967100801,16.6773445,-6.159949656,14.5293098,0.3890933763
19.44,-74.92484276,-38.27734403,0.02874172262,0.126909526,0.6861139214,-0.04517130743,16.55535265,-6.161352828,14.63736603,0.387152765
19.45,-74.92833104,-38.75049213,0.02781008018,0.1278905722,0.6852416762,-0.04123703557,16.443639,-6.162399313,14.74526861,0.3852218326
19.46,-74.93073107,-39.22736834,0.02694370315,0.1288704383,0.6843708949,-0.03778989528,16.34126088,-6.163119321,14.8530842,0.3833005307
19.47,-74.93213459,-39.7081727,0.0261381865,0.1298490736,0.6835015937,-0.03476326981,16.24736347,-6.163540376,14.96087938,0.3813888113
19.48,-74.93262519,-40.19310772,0.02538941005,0.1308264317,0.682633787,-0.03210039948,16.16117159,-6.163687556,15.06872051,0.3794866266
19.49,-74.93227902,-40.68237764,0.02469352212,0.1318024706,0.6817674877,-0.02975285031,16.08198235,-6.163583707,15.17667347,0.3775939292
19.5,-74.93116548,-41.17618772,0.02404692375,0.1327771519,0.6809027076,-0.02767922748,16.00915831,-6.163249644,15.28480343,0.3757106716
19.51,-74.92934777,-41.67474336,0.02344625354,0.1337504408,0.6800394571,-0.02584409397,15.9421214,-6.162704332,15.39317453,0.3738368068
19.52,-74.9268835,-42.17824903,0.02288837324,0.1347223054,0.6791777457,-0.02421706118,15.88034731,-6.161965051,15.50184964,0.371972288
19.53,-74.92382516,-42.68690718,0.02237035397,0.135692717,0.6783175817,-0.02277202369,15.82336044,-6.161047547,15.61088988,0.3701170685
19.54,-74.92022057,-43.20091685,0.02188946313,0.1366616493,0.6774589728,-0.02148651477,15.7707293,-6.15996617,15.72035434,0.3682711019
19.55,-74.91611333,-43.72047217,0.021443152,0.1376290783,0.6766019255,-0.02034116315,15.72206237,-6.158733999,15.83029954,0.3664343421
19.56,-74.9115432,-44.24576068,0.02102904402,0.1385949825,0.6757464459,-0.01931923468,15.67700429,-6.157362961,15.94077897,0.3646067432
19.57,-74.90654642,-44.77696142,0.02064492368,0.1395593419,0.6748925393,-0.01840624526,15.63523251,-6.155863927,16.05184251,0.3627882595
19.58,-74.90115605,-45.31424273,0.02028872607,0.1405221387,0.6740402102,-0.01758963351,15.59645413,-6.154246814,16.16353584,0.3609788455
19.59,-74.89540222,-45.85775994,0.01995852704,0.1414833567,0.6731894627,-0.01685848377,15.56040318,-6.152520667,16.27589974,0.359178456
19.6,-74.88931246,-46.40765268,0.01965253392,0.1424429809,0.6723403006,-0.01620329123,15.52683801,-6.150693739,16.38896936,0.3573870459
19.61,-74.88291187,-46.96404195,0.0193690768,0.1434009981,0.6714927267,-0.01561576268,15.49553905,-6.148773562,16.5027734,0.3556045706
19.62,-74.87622337,-47.52702698,0.0191066004,0.144357396,0.6706467438,-0.01508864719,15.46630674,-6.146767012,16.61733324,0.3538309854
19.63,-74.86926788,-48.09668166,0.01886365636,0.1453121636,0.6698023543,-0.01461559195,15.43895963,-6.144680365,16.73266197,0.352066246
19.64,-74.86206452,-48.67305082,0.01863889606,0.1462652909,0.6689595599,-0.01419101948,15.41333272,-6.142519356,16.84876338,0.3503103083
19.65,-74.85463074,-49.25614613,0.0184310639,0.1472167688,0.6681183623,-0.01381002283,15.38927588,-6.140289223,16.96563086,0.3485631283
19.66,-74.84698251,-49.84594175,0.01823899101,0.1481665893,0.6672787628,-0.01346827601,15.36665251,-6.137994753,17.08324626,0.3468246625
19.67,-74.8391344,-50.44236971,0.01806158934,0.1491147449,0.6664407624,-0.01316195726,15.34533825,-6.135640321,17.20157865,0.3450948673
19.68,-74.83109976,-51.0453151,0.01789784618,0.150061229,0.6656043619,-0.0128876833,15.32521988,-6.133229929,17.3205831,0.3433736994
19.69,-74.82289079,-51.654611,0.01774681896,0.1510060356,0.6647695618,-0.01264245293,15.30619424,-6.130767236,17.44019932,0.341661116
19.7,-74.81451863,-52.27003338,0.01760763053,0.1519491593,0.6639363626,-0.01242359839,15.28816736,-6.12825559,17.56035042,0.339957074
19.71,-74.80599351,-52.8912959,0.0174794646,0.1528905952,0.6631047642,-0.01222874355,15.27105357,-6.125698054,17.68094152,0.3382615311
19.72,-74.79732478,-53.51804475,0.01736156159,0.1538303391,0.6622747667,-0.01205576782,15.25477477,-6.123097434,17.80185854,0.3365744446
19.73,-74.788521,-54.1498537,0.01725321471,0.1547683871,0.66144637,-0.01190277492,15.23925972,-6.120456299,17.92296694,0.3348957726
19.74,-74.77959,-54.78621945,0.01715376633,0.1557047358,0.6606195737,-0.0117680659,15.22444341,-6.117777001,18.04411061,0.333225473
19.75,-74.77053899,-55.42655741,0.01706260457,0.1566393821,0.6597943773,-0.01165011565,15.21026651,-6.115061696,18.16511089,0.331563504
19.76,-74.76137453,-56.07019823,0.01697916015,0.1575723234,0.6589707803,-0.01154755262,15.19667487,-6.11231236,18.28576581,0.3299098241
19.77,-74.75210268,-56.71638509,0.01690290344,0.1585035572,0.658148782,-0.01145914106,15.18361899,-6.109530805,18.40584953,0.328264392
19.78,-74.74272897,-57.36427216,0.01683334169,0.1594330816,0.6573283816,-0.01138376558,15.17105368,-6.106718692,18.52511216,0.3266271665
19.79,-74.73325849,-58.01292432,0.01677001648,0.1603608947,0.6565095782,-0.01132041772,15.15893762,-6.103877546,18.64327985,0.3249981067
19.8,-74.72369588,-58.66131846,0.01671250135,0.161286995,0.6556923709,-0.01126818411,15.14723304,-6.101008765,18.7600554,0.3233771719
19.81,-74.71404544,-59.30834652,0.01666039957,0.1622113812,0.6548767585,-0.01122623617,15.13590537,-6.098113633,18.87511933,0.3217643215
19.82,-74.7043111,-59.95282056,0.01661334207,0.1631340523,0.6540627401,-0.01119382104,15.12492303,-6.09519333,18.98813147,0.3201595153
19.83,-74.69449646,-60.59347988,0.0165709855,0.1640550072,0.6532503144,-0.01117025362,15.11425706,-6.092248937,19.09873317,0.318562713
19.84,-74.68460484,-61.22900045,0.01653301047,0.1649742454,0.6524394802,-0.01115490953,15.10388098,-6.089281451,19.20655011,0.3169738749
19.85,-74.67463928,-61.85800665,0.01649911986,0.1658917662,0.6516302362,-0.01114721892,15.09377054,-6.086291785,19.31119576,0.3153929611
19.86,-74.6646026,-62.47908516,0.01646903728,0.1668075693,0.6508225811,-0.01114666103,15.08390349,-6.083280779,19.41227545,0.3138199321
19.87,-74.65449736,-63.09080103,0.01644250559,0.1677216543,0.6500165134,-0.01115275932,15.07425948,-6.080249207,19.50939103,0.3122547487
19.88,-74.64432593,-63.69171558,0.01641928562,0.1686340212,0.6492120318,-0.01116507716,15.06481981,-6.07719778,19.60214605,0.3106973716
19.89,-74.6340905,-64.28040575,0.01639915486,0.16954467,0.6484091348,-0.01118321405,15.05556737,-6.074127151,19.69015133,0.309147762
19.9,-74.62379307,-64.85548451,0.01638190633,0.1704536007,0.6476078209,-0.01120680219,15.04648644,-6.071037922,19.77303085,0.3076058811
19.91,-74.61343549,-65.41562166,0.01636734748,0.1713608135,0.6468080886,-0.01123550347,15.03756259,-6.067930647,19.85042777,0.3060716904
19.92,-74.60301945,-65.95956447,0.01635529918,0.1722663087,0.6460099363,-0.01126900674,15.02878259,-6.064805836,19.92201041,0.3045451515
19.93,-74.59254653,-66.48615743,0.0163455948,0.1731700867,0.6452133625,-0.01130702544,15.02013427,-6.06166396,19.9874779,0.3030262262
19.94,-74.58201816,-66.99436044,0.01633807935,0.1740721478,0.6444183655,-0.01134929537,15.01160647,-6.058505449,20.04656555,0.3015148766
19.95,-74.57143568,-67.48326478,0.0163326086,0.1749724927,0.6436249438,-0.01139557278,15.00318893,-6.055330705,20.09904941,0.3000110649
19.96,-74.56080031,-67.95210629,0.01632904843,0.175871122,0.6428330956,-0.01144563261,14.9948722,-6.052140093,20.14475015,0.2985147534
19.97,-74.55011317,-68.40027524,0.01632727403,0.1767680361,0.6420428193,-0.01149926691,14.98664762,-6.048933952,20.18353586,0.2970259049
19.98,-74.53937532,-68.82732273,0.0163271693,0.1776632359,0.6412541133,-0.01155628344,14.9785072,-6.045712595,20.21532392,0.295544482
19.99,-74.5285877,-69.23296319,0.01632862625,0.1785567221,0.6404669759,-0.01161650433,14.97044361,-6.04247631,20.24008161,0.2940704477
20,-74.51775121,-69.61707328,0.0163315444,0.1794484954,0.6396814052,-0.01167976498,14.96245009,-6.039225363,20.25782571,0.2926037653
20.01,-74.50686666,-69.97968715,0.01633583028,0.1803385568,0.6388973998,-0.01174591295,14.95452042,-6.035959997,20.26862088,0.2911443979
20.02,-74.4959348,-70.32098849,0.01634139694,0.1812269071,0.6381149577,-0.01181480704,14.94664887,-6.032680441,20.27257716,0.2896923092
20.03,-74.48495634,-70.64129977,0.01634816348,0.1821135472,0.6373340773,-0.0118863164,14.93883018,-6.029386902,20.26984651,0.2882474627
20.04,-74.47393191,-70.94106926,0.01635605463,0.182998478,0.6365547569,-0.01196031974,14.93105948,-6.026079573,20.26061865,0.2868098225
20.05,-74.4628621,-71.22085629,0.0163650004,0.1838817006,0.6357769947,-0.0120367046,14.92333229,-6.022758631,20.24511642,0.2853793526
20.06,-74.45174747,-71.48131556,0.01637493565,0.184763216,0.6350007889,-0.01211536671,14.91564449,-6.019424242,20.22359069,0.2839560171
20.07,-74.44058852,-71.72318081,0.01638579978,0.1856430252,0.6342261378,-0.01219620935,14.90799226,-6.016076557,20.19631521,0.2825397806
20.08,-74.42938572,-71.94724864,0.01639753642,0.1865211292,0.6334530395,-0.01227914285,14.90037211,-6.012715715,20.16358139,0.2811306075
20.09,-74.41813949,-72.15436274,0.01641009314,0.1873975292,0.6326814925,-0.01236408401,14.8927808,-6.009341847,20.12569326,0.2797284628
20.1,-74.40685024,-72.345399,0.01642342115,0.1882722263,0.6319114948,-0.01245095569,14.88521533,-6.005955072,20.0829627,0.2783333112
20.11,-74.39551833,-72.52125187,0.01643747506,0.1891452215,0.6311430447,-0.01253968638,14.87767296,-6.0025555,20.03570507,0.2769451181
20.12,-74.38414411,-72.68282195,0.01645221267,0.1900165161,0.6303761404,-0.01263020977,14.87015114,-5.999143233,19.98423527,0.2755638485
20.13,-74.37272789,-72.83100519,0.01646759469,0.1908861112,0.6296107802,-0.01272246441,14.86264752,-5.995718366,19.92886429,0.2741894681
20.14,-74.36126995,-72.96668357,0.01648358461,0.191754008,0.6288469622,-0.01281639339,14.85515994,-5.992280986,19.8698963,0.2728219424
20.15,-74.34977058,-73.09071734,0.01650014842,0.1926202076,0.6280846847,-0.01291194399,14.8476864,-5.988831174,19.8076262,0.2714612373
20.16,-74.33823001,-73.20393872,0.01651725453,0.1934847114,0.6273239459,-0.01300906744,14.84022504,-5.985369004,19.74233768,0.2701073187
20.17,-74.32664848,-73.30714698,0.01653487354,0.1943475204,0.626564744,-0.01310771861,14.83277417,-5.981894545,19.67430176,0.2687601529
20.18,-74.3150262,-73.40110479,0.01655297809,0.1952086359,0.6258070772,-0.01320785582,14.8253322,-5.97840786,19.60377569,0.267419706
20.19,-74.30336337,-73.48653568,0.01657154276,0.1960680593,0.6250509438,-0.01330944057,14.81789769,-5.97490901,19.53100231,0.2660859447
20.2,-74.29166016,-73.56412248,0.01659054389,0.1969257916,0.6242963419,-0.01341243734,14.81046929,-5.971398048,19.45620961,0.2647588355
20.21,-74.27991675,-73.6345066,0.01660995948,0.1977818343,0.6235432699,-0.01351681341,14.80304576,-5.967875024,19.3796107,0.2634383453
20.22,-74.26813329,-73.69828802,0.01662976907,0.1986361885,0.6227917258,-0.01362253867,14.79562596,-5.964339986,19.30140388,0.262124441
20.23,-74.25630992,-73.75602582,0.01664995366,0.1994888555,0.622041708,-0.01372958544,14.78820882,-5.960792976,19.22177301,0.2608170899
20.24,-74.24444678,-73.80823926,0.01667049554,0.2003398366,0.6212932146,-0.01383792833,14.78079337,-5.957234035,19.14088792,0.2595162593
